"Shoe","Coup","Player card 1","Player card 2","Player card 3","Banker card 1","Banker card 2","Banker card 3","Player total","Banker total","Winner","Pair outcome"
5,371,"K","J",NA,"8","A",NA,"0","9","Banker","No pair"
5,372,"4","3",NA,"Q","A","3","7","4","Player","No pair"
5,373,"4","4",NA,"J","7",NA,"8","7","Player","Player pair"
5,374,"8","Q",NA,"2","6",NA,"8","8","Tie","No pair"
5,375,"7","9",NA,"4","7","7","6","8","Banker","No pair"
5,376,"3","10","Q","K","A","4","3","5","Banker","No pair"
5,377,"6","A",NA,"3","A","J","7","4","Player","No pair"
5,378,"Q","10","8","K","K","2","8","2","Player","Banker pair"
5,379,"Q","10","2","7","3","Q","2","0","Player","No pair"
5,380,"2","Q",NA,"9","9",NA,"2","8","Banker","Banker pair"
5,381,"6","8","A","6","10",NA,"5","6","Banker","No pair"
5,382,"J","9",NA,"K","Q",NA,"9","0","Player","No pair"
5,383,"6","2",NA,"6","A",NA,"8","7","Player","No pair"
5,384,"6","2",NA,"J","10",NA,"8","0","Player","No pair"
5,385,"7","7",NA,"8","Q",NA,"4","8","Banker","Player pair"
5,386,"10","4","9","5","2",NA,"3","7","Banker","No pair"
5,387,"J","10","K","4","2",NA,"0","6","Banker","No pair"
5,388,"3","10","J","8","3","5","3","6","Banker","No pair"
5,389,"9","2","4","Q","6",NA,"5","6","Banker","No pair"
5,390,"9","4","7","K","4","A","0","5","Banker","No pair"
5,391,"7","2",NA,"8","7",NA,"9","5","Player","No pair"
5,392,"8","6","9","Q","5",NA,"3","5","Banker","No pair"
5,393,"A","3","4","J","10","5","8","5","Player","No pair"
5,394,"3","K","9","Q","7",NA,"2","7","Banker","No pair"
5,395,"7","9",NA,"K","3","4","6","7","Banker","No pair"
5,396,"3","5",NA,"Q","4",NA,"8","4","Player","No pair"
5,397,"8","6","5","Q","10","4","9","4","Player","No pair"
5,398,"K","8",NA,"4","8",NA,"8","2","Player","No pair"
5,399,"2","3","7","J","K","A","2","1","Player","No pair"
5,400,"5","10","2","3","4",NA,"7","7","Tie","No pair"
